Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1982,Mother Lode,American,Charlton Heston,"Charlton Heston, Kim Basinger, Nick Mancuso",adventure,https://en.wikipedia.org/wiki/Mother_Lode_(film),"When her husband George disappears after a flight into northern British Columbia's interior wilderness to search for gold, Andrea Spalding contacts Jean Dupre for help, who just happens to be available for hire after intimidating a surly passenger with aerobatics in a Molyco Company Cessna 206, then landing and walking away from the aircraft as it continues to taxi onto an active runway into the path of a landing Cessna 185, with the Molyco executive still on board.
Together, Dupre and Spalding embark on a search in a dilapidated de Havilland Canada DHC-2 Beaver. Along the way, they recover from a mechanical breakdown and encounter native fisherman Elijah, who earnestly urges them to stay away from ""Headwater"".
On arrival at Headwater, Dupre accidentally crashes the aircraft during the water landing, yet he and Spalding survive, shaken but unhurt. From there, the pair become involved in suspicious activities with Silas McGee, a prospector and hermit intent on protecting his silver mine. Encountering his brother, Ian McGee, their search turns into a whodunit mystery/adventure, involving mistaken identities, greed and murder. When Dupre discovers the Mollyco aircraft in which George Spalding was last seen, submerged in a lake, the searchers eventually learn the truth about Spalding's disappearance."
2009,The Final Destination,American,David R. Ellis,"Bobby Campo, Shantel VanSanten, Haley Webb, Nick Zano, Mykelti Williamson",horror,https://en.wikipedia.org/wiki/The_Final_Destination,"College student Nick O'Bannon visits the McKinley Speedway with his girlfriend Lori Milligan and their friends Hunt Wynorski and Janet Cunningham. While watching the race, Nick has a premonition of a horrible car accident that sends debris into the stands, causing the stadium to collapse. When Nick panics a fight breaks out and several people leave the stadium, including, Lori, Hunt, Janet, security guard George Lanter, mechanic Andy Kewzer, his girlfriend Nadia Monroy, racist tow truck driver Carter Daniels, and mother Samantha Lane. As Nadia berates the group a stray tire suddenly flies out the stadium and decapitates her.
Several days after the accident, Carter tries to set a cross on fire on George's lawn for preventing him from saving his wife, but a chain reaction causes him to be dragged down the street on fire before his tow truck explodes. The next day, Samantha is leaving the beauty salon when a rock propelled by a lawn mower is suddenly shot through her eye, killing her. After reading about the events in the paper and past disasters (of the previous films), Nick becomes convinced that Death is still after them. Hunt and Janet refuse to believe them, but they manage to convince George to help. The group visits the mechanic shop to warn Andy, but he is killed when a CO2 tank launches him through a chain link fence. After receiving a premonition involving water Nick tries to warn Hunt, who has gone to a country club pool. At the same time, George and Lori try to find Janet, who becomes trapped in a malfunctioning car wash, and they manage to save her at the last second. Hunt drops his lucky coin in the water after accidentally turning the pool's drain on and when he dives in he is sucked down to the drain, where the increasing suction eventually sucks his organs through the drain pipe. Afterward, George admits that he tried to commit suicide several times, but every attempt has failed. Nick believes saving Janet must have ruined Death's plan and the group celebrates.
Four days later, Nick begins to see more omens and remembers asking, cowboy, Jonathan Groves to switch seats prior to the accident, meaning he is actually next. Nick and George track Jonathan down at a hospital, where he remained in traction recovering from the accident, and they witness him being crushed by an overflowing bathtub that falls through the ceiling. As they leave; George is suddenly hit by a speeding ambulance and Nick realizes that Lori and Janet are still in danger. He tracks them down at a mall cinema and convinces Lori to leave, but Janet refuses and is killed by flying debris when a chain reaction causes the screen to explode. A multitude of explosions race Nick and Lori through the mall until they are trapped on a malfunctioning escalator and Lori is dragged into the gears and killed. This turns out to be another premonition, and George is killed by an ambulance before Nick can warn him.
At the mall, Lori begins seeing omens as well. Having failed in his premonition, Nick runs back to the mall to stop the explosion before it occurs. He is pinned to a wall by a nail gun but manages to stop the fire before it spreads to several combustible barrels, saving everyone. Two weeks later, Nick notices a loose scaffold prop while heading into a café and warns a construction worker about it before going inside. While talking with Lori and Janet, he starts to see more omens and alludes the theory that his predictions were red herrings meant to lead them to where they needed to be for Death to strike. Just as he realizes this the scaffold outside collapses causing a truck to swerve and crash into the coffee shop, killing all three of them. Janet is crushed under the tires, Lori is decapitated by the impact, and Nick is propelled into a wall, dislocating his jaw."
1937,Gangway,British,Sonnie Hale,"Jessie Matthews, Barry MacKay",musical,https://en.wikipedia.org/wiki/Gangway_(film),"Newspaper film critic Pat Wayne (Jessie Matthews) boards an ocean liner to New York to interview glamorous movie star Nedda Beaumont (Olive Blakeney). Once aboard, Pat somehow gets mixed up with a gangster (Nat Pendleton), and a Scotland yard inspector (Barry MacKay), who both mistake her for a female jewel thief called ""Sparkle."""
2017,Siliconn City,Kannada,Murali Gurappa,"Srinagar Kitty, Suraj Gowda, Kavya Shetty, Ekta Rathod, Chikkanna, Ashok",action,https://en.wikipedia.org/wiki/Siliconn_City,"The film begins with Sanjay (Srinagar Kitty) along with his friend locking up an unknown man and torturing him with a camera filming the whole incident. The movie then turns to a flash back, where Sanjay narrates how happy he and his family was. Sanjay who is working in an advertising agency along with his girlfriend Prerana(Kavya Shetty) is the eldest son of a retired Police Head-constable(Ashok) and a home-maker(Thulasi) and has a brother named Karthik (Suraj) who is an engineering student. Sanjay's middle-class family life also has his friend (Chikkanna) mingling as one of the family member. Problem begins when Karthik , who is pressurized by his girlfriend Shobha (Ekta) to get an expensive bike, persuades his family to get him a bike. Though hesitant at first, they agree to get him a bike of his choice at the earliest.However, Sanjay is unable to get a loan from his owner (Nagendra Shah).The delay in getting his bike and seeing his classmate James (Girish) spending casually makes him curious to know what he does for money. This is when he is introduced to the heinous crime of chain snatching and is introduced to Mani (Anil Siddhu) who is heading a gang of young college going chain snatchers. Karthik joins the gang and starts to earn through chain snatching and gets all the things he wants.

The plot turns when Karthik decides to do these crimes alone without having to give any commission to Mani(Anil Siddhu). Though hesitant at first, the others join him when 2 of the boys get caught by police and Mani(Anil Siddhu) doesn't come to their aid. Karthik goes back to his house to get a chain recently snatched by him, only to find his mom with the chain and all the other gadgets he owns without his parents' knowledge. An argument begins and Karthik pushes his mother to death. Sanjay comes home to realize his mother's death. When the police inspector (Ramesh Pandit) is unable to track the murderers , Sanjay vows to avenge the loss of his mother not realising that his own brother is the culprit. What happens next forms the latter part of the movie.[7]"
2016,The Precipice Game,Chinese,Wang Zao,"Ruby Lin, Peter Ho, Jin Shijia, Wang Ji, Gai Yuexi, Li Lin, Li Shangyi, Shi Zhi, Liu Shijie",suspense / thriller,https://en.wikipedia.org/wiki/The_Precipice_Game,"Liu Chenchen, a free-spirited young woman, rebels against her wealthy family and elopes with her boyfriend to join a cruise-bond treasure hunt. But what began as an innocent game with promises of great reward soon turns into a battle for survival when the contestants are thrown into a mysterious world of intrigue and chaos in the middle of the sea. Liu relies only on her wits and her new friends to survive, all the while unmasking foes and learning that nothing is what it seems. But as her companions are attacked one by one, Liu must do everything she can to escape.[3]"
2012,Mirza - The untold Story,Punjabi,Baljit Singh Deo,"Gippy Grewal, Mandy Takhar, Rahul Dev, Binnu Dhillon",action/romance,https://en.wikipedia.org/wiki/Mirza_-_The_untold_Story,"Mirza: The Untold Story is based on the legendary love story of Mirza and Sahiba.
Mirza (Gippy Grewal) and his Sahiba (Mandy Takhar) fall in love with each other at a very young age. The plot continues many years later when Mirza and Sahiba return to the same home town where they once grew up together. Jeet (Rahul Dev), Sahiba's oldest brother, is a major gang leader in the city; nonetheless, he still maintains his family's honour. Mirza decides to infiltrate Jeet's gang. The story takes a turn as Mirza meets Sahiba and their love flourishes once again. This leaves Mirza caught between his love and the hatred he has for her brothers. His battle becomes personal with his leader, Jeet.
Sahiba was a virtuous person who did not desire any bloodshed, but she knows that Jeet and Mirza are both men of strength., and one will end up dead. Until now she has been sheltered from the real business of the family. Mirza enters Jeet's gang, yet Jeet doesn't know he's after Sahiba. Since Jeet would like Sahiba to marry Deesha (Honey Singh), a fellow mad gang member, Mirza tries to run away with Sahiba. Then, Sahiba and Mirza lodge at farm cabin and Sahiba wakes up but feels that her brothers shouldn't be killed and takes out all the bullets from Mirza's gun, on which he depends. Suddenly one of Sahiba's brothers arrive and fights with Mirza. Mirza is winning the fight till he tries to shoot Sahiba's brother and realizes the bullets have been taken out by Sahiba. Jeet then comes and shoots Mirza and he dies while Sahiba is taken away from Mirza."
1969,Love Camp 7,American,Lee Frost,"Kathy Williams, Maria Lease",thriller,https://en.wikipedia.org/wiki/Love_Camp_7,"The movie follows two female American officers (played by Maria Lease and Kathy Williams) who volunteer to enter a Nazi camp undercover to gain information from, and possibly rescue, an inmate. The camp's female inmates serve as prostitutes for German officers and are subjected to humiliating treatment, torture, and rape. When the two female agents learn that their target is being held in solitary detention, one of them arranges to be punished so that she can make contact. This leads to Lt. Harman (Lease) being stripped and strung up by her wrists. The target uses her body to free Harman and they attempt their escape. The escape plan ends in a climactic battle. The movie shows female full frontal nudity for a majority of the film."
1950,Our Very Own,American,David Miller,"Ann Blyth, Farley Granger",drama,https://en.wikipedia.org/wiki/Our_Very_Own_(1950_film),"Los Angeles teenager Gail Macaulay is going steady with deliveryman Chuck, a relationship that sparks jeaolusy in her younger sister Joan. When Joan needs her birth certificate in order to obtain summer employment, her mother Lois tells her to look in a box in her dresser, where the girl discovers Gail's adoption papers.
That evening, at Gail's 18th birthday party, Joan flirts with Chuck, and when her angry sister confronts her, Joan reveals the truth about her background. The following morning, Lois tells Gail her biological father was killed in an accident before she was born, but her mother, Gert Lynch, is alive. Gail persuades Lois to have their lawyer arrange a meeting with her birth mother, but Lois decides to visit Gert in her Long Beach home first. Gert is thrilled to see photographs of Gail but is loath to let her second husband Jim know she has a child, so Lois arranges a meeting the following evening, when Jim will be out.
After Gail and her friend Zaza depart for Gert's home, Lois receives a panicked phone call from the woman telling her Jim canceled his plans and is staying home to play cards with friends. Gert waits for the girls outside her house, but before they arrive Jim asks her to prepare refreshments. When Gail enters the house, Gert introduces her as the daughter of an old friend. Gert quietly explains the situation to Gail and apologizes for the mixup.
Gail returns to the car and tells Zaza the reunion went well, then asks if she can spend the night at her house. Chuck, who had arrived at the Macaulay home just before Gail left for the ill-fated reunion with Gert, has spent the worried night with Gail's parents after having the situation explained to him. When Gail fails to return home, Gail's parents begin to worry and Chuck goes to Zaza's house and reproaches Gail for hurting the people who raised her and loved her as their own. This idea of family as ""the people who are there for you"" is reinforced when Gail learns that Zaza's father will not be attending their high school graduation ceremony, having chosen to attend an out-of-town party instead.
At the graduation ceremony, Gail imbues her valedictory speech about citizenship with a loving message about the true meaning of family, to the delight of her parents, sisters, and Chuck."
1921,Mama's Affair,American,Victor Fleming,"Constance Talmadge, Effie Shannon, Kenneth Harlan",romantic comedy,https://en.wikipedia.org/wiki/Mama%27s_Affair,"As summarized in a film publication,[4] a prologue, which explains where the author got her idea for the story, shows Adam and Eve in the Garden of Eden. When the serpent tells Eve to bite the apple, Adam takes it away from her. The serpent then tells her to go into hysterics and Adam will give her the apple. Shifting to the modern story, Mrs. Orrin (Effie Shannon), Eve's (Constance Talmadge) mother, goes into hysterics at the thought of losing her daughter. Mrs. Orrin and Mrs. Merchant (Katharine Kaelred), who lives with them, have decided that Eve will marry Mrs. Merchant's son Henry (George LeGuere), an effeminate youngster with rimmed glasses. Fearing her mother's nerves, Eve is willing to marry Henry, so the four of them go to Mama Orrin's birthplace, where the wedding is scheduled to take place on her birthday. During the stay at the hotel Mama has one of her ""attacks"" and Dr. Harmon (Kenneth Harlan) is called in. He soon discovers the exact trouble and orders Mrs. Orrin to bed with instructions that she not even see her daughter. Mrs. Orrin disobeys these orders and then Eve's nerves give way, causing a second visit by the doctor. He takes Eve away from the mother, but after Henry accuses the doctor of being a fortune seeker, the doctor refuses to have anything to do with Eve. Finally, Eve's eyes are opened and she uses a ""treat 'em rough"" theory on her mother. Besides winning the love of her doctor, she cures her mother of her hysterics."
1938,Angels with Dirty Faces,American,Michael Curtiz,"James Cagney, Pat O'Brien, Humphrey Bogart","drama, crime",https://en.wikipedia.org/wiki/Angels_with_Dirty_Faces,"In 1923, two youths, Rocky Sullivan (Frankie Burke) and Jerry Connolly (William Tracy), attempt to rob a railroad car carrying fountain pens. Jerry escapes from the police, while Rocky is caught and sentenced to reform school.
Thirteen years later, Rocky (James Cagney) is arrested for armed robbery. His lawyer and co-conspirator, Jim Frazier (Humphrey Bogart), asks him to take the blame and, in exchange, he will give Rocky the stolen $100,000 on the day he is released. Rocky agrees and is sentenced to three years in prison.
After serving his sentence, he returns to his old neighborhood and visits Jerry (Pat O'Brien), who is now a Catholic priest. Jerry advises Rocky to get a place ""in the old parish"", so Rocky rents a room in a boarding house run by Laury Martin (Ann Sheridan), a girl he bullied in school. He then pays a visit to Frazier's casino. Frazier claims to have been unaware of Rocky's release, but he promises to have the $100,000 ready by the end of the week, and he gives Rocky $500 spending money.
Rocky is pickpocketed after leaving the casino. The culprits turn out to be a group of youths: Soapy (Billy Halop), Swing (Bobby Jordan), Bim (Leo Gorcey), Pasty (Gabriel Dell), Crab (Huntz Hall), and Hunky (Bernard Punsly). They admire Rocky's reputation and criminal lifestyle so, after retrieving his wallet, Rocky invites them to dinner. While they are eating, Jerry arrives and asks the gang why they have not been playing basketball. With Rocky's help, he convinces them to play against another team. At the match, Jerry and Laury express equal concern over the negative influence Rocky may be having on the gang.
While walking home, Frazier's hit squad makes an attempt on Rocky's life. He survives and retaliates by kidnapping Frazier, raiding his house at gunpoint and stealing $2,000 and a ledger. Frazier's business partner, Mac Keefer (George Bancroft), gives Rocky his $100,000 in full, but Mac informs the police of the kidnapping. Rocky is arrested, but after discovering he has possession of the ledger, Frazier tells the police it was all a ""misunderstanding"", and Rocky is released. Jerry learns of the kidnapping, and decides to go to the press to expose corruption in New York. Rocky tries unsuccessfully to reason with him.
On the radio, Jerry denounces the corruption, as well as Rocky, Frazier and Keefer. Frazier and Keefer assure Rocky that no harm will come to Jerry, but he overhears their plans to kill them both. Rocky kills Frazier and Keefer instead and, after escaping the casino, makes his way to an abandoned warehouse where he kills a police officer. A standoff ensues with other police. Jerry arrives and tries to reason with Rocky, telling him the entire building is surrounded, but Rocky takes him hostage. While trying to escape, Rocky is shot in the leg and caught. After standing trial, he is sentenced to death.
On the night of his execution, Jerry pleads with Rocky to show people that he died a coward by begging for mercy on his way to the death house, citing the negative influence he has had on Soapy and the gang as his reason. Rocky refuses, but on his way to the electric chair, he does start begging and screaming for mercy. Later, Soapy and the gang read of how Rocky ""turned yellow"" in the face of his execution, and they lose all respect for him."
1992,The Nun and the Bandit,Australian,Paul Cox,"Gosia Dobrowolska, Chris Haywood",drama,https://en.wikipedia.org/wiki/The_Nun_and_the_Bandit,"In the 1940s, two outlaw brothers kidnap their wealthy 14-year-old second cousin, but things get complicated when her chaperoning nun refuses to abandon her charge."
2008,Kalidasu,Telugu,G. Ravicharan Reddy,"Sushanth, Tamanna Bhatia, Jayasudha",romance,https://en.wikipedia.org/wiki/Kalidasu,"Kalidasu (Sushanth) is the son of a sincere police officer (Nagababu), who is killed in the hands of a factionist (GV). However, Kalidasu kills that factionist and escapes from Rayalaseema and reaches Guntur. Kanakadurga (Jayasudha) brings him up along with her son Jai Dev (Vamsikrishna). Kalidasu helps Dev to continue his studies in Hyderabad, by turning himself a car-lifter. Baba (Chalapati Rao) buys such lifted cars. His son Basha (Sunil) also becomes his good friend. Once, Kalidasu lifts a car and finds a girl hiding in it. The girl says that her name is Mirchi (Tamannaah) and pretends that she is a lunatic. But Kalidasu does not believe that she is lunatic and suspects her that she is pretending. Once some goons led by Pratap and Ajay (Vinodkumar and Ajay) reach Guntur and take away Mirchi after killing Basha.
Kalidasu goes to Hyderabad after noticing Dev's photo with Mirchi in her mobile phone. However, after going to the college, the principal (Tanikella Bharani) reveals that Dev is killed by the goons led by a political leader (Rajan P. Dev) and his henchmen Pratap and Ajay to save the college maintained by Archana (Real name of Mirchi). Kalidasu decides to take revenge against the killers of Basha and Dev. Then Kalidasu starts his mind game and plays a trick, which makes Pratap to kill his own brothers. Later, Ajay kills his brother-in-law Pratap. In the climax, Kalidasu's trick again makes Ajay meet his own death. The film ends on a happy note as Kalidasu and Archana are in Love and lead a happy life."
1949,Everybody Does It,American,Edmund Goulding,"Paul Douglas, Linda Darnell, Celeste Holm",comedy,https://en.wikipedia.org/wiki/Everybody_Does_It,"Leonard Borland (Paul Douglas) lives and works in New York City as a wrecking contractor, married to socialite Doris (Celeste Holm). Even though – according to her husband – she has no singing talent, Doris considers herself an aspiring opera singer and regularly pressures Leonard to accompany her to operas. Already dismayed by his father-in-law Major Blair's (Charles Coburn) insistence that Doris take some singing lessons, Leonard becomes further estranged from Doris when her career takes off. Despite financing her recital and arranging an important critic to watch her performance, Doris shows no gratitude.
Meanwhile, successful opera singer Cecil Carver (Linda Darnell) is complaining about being unable to locate a suitable baritone for her new production, when she and the critic are suddenly rushed to Doris's opera performance. Cecil is not altogether impressed with the newcomer's talent and invites Leonard to her apartment to share her opinion. The two quickly hit it off and share a passionate kiss. Then, she finds out that Leonard, unlike his wife, has a powerful voice, and immediately assigns him to her production under the name ""Logan Bennett"". Doris is too busy training with her mother (Lucile Watson) and vocal coach to note what her husband is up to, and believes that he is on the road for his wrecking work.
While on tour, Cecil attempts to seduce him, but Leonard, still much in love with Doris, rejects her. Back in New York, Leonard learns that Doris is now under medical care for shock treatment, caused by a disastrous booking at a movie palace. Even though she decides to give up her musical aspirations, she agrees to guest a cocktail party for celebrities. Noticing Leonard's uncomfortable reaction to Cecil's presence at the party, Doris realizes that she might be her husband's mistress. Cecil is disappointed that Leonard pretends not to know her and assures Doris that she is not attracted to him whatsoever, and only knows him through the opera. The audience, dumbfounded by the revelation that Leonard is an opera singer, demands that he perform at the party.
Humiliated by his betrayal, Doris orders Leonard to leave her. A few days later, Leonard resides penniless in a hotel and finds out that Doris currently lives in Palm Beach. Due to financial troubles, Leonard accepts a steady opera job. At his debut, attended by Doris and her parents, he is surprised by sudden stage fright. An irritated Cecil and her assistant give him some pills and a potion, causing him to feel sick, and fall from the stage before the entire audience. Much to the audience's amusement, he misses his cue and screws up the entire production. He ends his embarrassing performance by falling into the orchestra pit, prompting a livid Cecil to order him to leave. Doris, feeling for her estranged husband, rushes backstage to reconcile with him. Returning home, they find out that Leonard has been offered a lucrative wrecking contract."
1951,The Family Secret,American,Henry Levin,"John Derek, Lee J. Cobb",drama,https://en.wikipedia.org/wiki/The_Family_Secret_(1951_film),"Law student David Clark kills best friend Art Bradley in self-defense after an argument. He flees, but later confesses to his father, Howard, a lawyer. The next morning, Howard expects his son to explain what happened to district attorney Redman, but instead David merely asks the DA if he can be of any help after another man, Joe Elsner, is arrested. Elsner is a bookie to whom the dead man owed a debt.
Marie Elsner comes to Howard Clark, asking that he represent her husband in court. David sits by his father's and the defendant's side at the trial. He has always been irresponsible, which is why secretary Lee Pearson keeps resisting David's romantic attentions, even though she is attracted to him. Howard Clark proves a key eyewitness to be a convicted perjurer. It looks like Elsner might be found innocent, but the stress causes him to have a fatal heart attack. David finally realizes he must turn himself in and promises to Lee he will lead a better life."
1968,The Vengeance of She,British,Cliff Owen,"John Richardson, Olga Schoberová",fantasy,https://en.wikipedia.org/wiki/The_Vengeance_of_She,"A beautiful young European girl, Carol, is drawn through mental telepathy to the ancient lost city of Kuma, there to become the reincarnation of its lost former ruler, Ayesha, and consort of her predecessor's lover, Kallikrates. In return, Men-Hari, a member of the Magi, the ancient Chaldean race of wise men, will also be allowed to enter the sacred flame and become immortal, which will expand his already formidable mental powers to the point where he will be able to take over the entire world. To achieve this, however, he must bring Carol to Kallikrates before the sacred flame is ignited during a once-in-a-lifetime astronomical alignment. Men-Hari therefore uses his powers ruthlessly to compel Carol to come to Kuma.
Men-Hari is opposed by his father, Za-Tor, longtime leader of the Magi, and by Dr. Phillip Smith, a psychiatrist, who meets and falls in love with Carol during her journey. In the course of their travels, Carol and Phillip are separated. Kassim, a local mystic, attempts to break Men-Hari's control over Carol, but Men-Hari learns of this. Partly at Kallikrates' bidding, Men-Hari wrests the leadership of the Magi away from Za-Tor, and leads the rest of the Magi in a forbidden occult ritual to overpower and destroy Kassim. Shortly thereafter, Carol and Phillip are re-united, and they continue their journey to Kuma.
Upon their arrival, Carol is welcomed, but Phillip, whom Men-Hari rightly perceives as a threat to his evil scheme, is imprisoned. Za-Tor comes to Phillip and discusses the situation with him, and comes to realize the danger in Men-Hari's plot. He agrees to do whatever he can to help Phillip and then departs. Sharna, one of Kallikrates' servant girls, and who is in love with Kallikrates, helps Phillip to escape, while Za-Tor speaks to his assistant in an effort to incite a rebellion against Men-Hari. The plot succeeds to some extent, and Phillip arrives at Kallikrates' chambers just as the sacred flame is ignited. Before Carol can walk through the flame, however, Phillip desperately calls out to Carol, even as he is seized by Kallikrates' guards. Phillip's cries succeed in breaking Men-Hari's control over Carol, and at that moment Za-Tor confronts Men-Hari, explaining his plot to Kallikrates. Realizing that Za-Tor is telling the truth, Kallikrates orders that Carol and Phillip both be released. He also bars Men-Hari from entering the sacred flame, and denounces him as the power-mad traitor that he is.
Stung to fury by the frustration of his plot, Men-Hari stabs his father in the stomach with a long dagger. As Phillip rushes to Za-Tor's aid, Men-Hari attempts to kill him, but Kallikrates' guards kill Men-Hari with their swords at their king's command. Kallikrates, now despondent beyond all reasoning, then commits suicide by re-entering the sacred flame, despite Sharna's efforts to stop him. As the others watch in horror, Kallikrates ages hundreds of years in a matter of seconds, then dies and crumbles to dust. As Phillip and Carol leave the chamber and head for the main entrance to the city, Za-Tor revives just long enough to pray for Kuma's destruction, since its people have now become evil beyond all hope of rehabilitation. In direct response, the sacred flame explodes outward, and an earthquake begins to tear the city apart. Phillip and Carol just barely make it out of the entrance before the city crumbles and collapses, killing everyone within. As the two lovers begin making their way back to civilization, the last fragments of the giant sculpture of Ayesha that stood above the entrance are engulfed by the sacred flame, signifying the end of Kuma and the Magi for all time."
1985,After Hours,American,Martin Scorsese,"Griffin Dunne, Rosanna Arquette, Verna Bloom, Linda Fiorentino, Catherine O'Hara, Teri Garr, John Heard","comedy, thriller",https://en.wikipedia.org/wiki/After_Hours_(film),"After a long and boring day at work, Paul Hackett, a computer word processor, meets Marcy Franklin in a local cafe in New York City. They discuss their common interest in Henry Miller. Marcy leaves Paul her number and informs him that she lives with a sculptor named Kiki Bridges, who makes and sells plaster of Paris paperweights resembling cream cheese bagels. Later in the night, under the pretense of buying a paperweight, Paul visits Marcy, taking a cab to her apartment. On his way to visit Marcy, his $20 bill is blown out the window of the cab, leaving him with only some spare pocket change. The cab driver is furious that he cannot pay. This is the first in a long series of misadventures for Paul that turn hostile through no fault of his own. At the apartment, Paul meets the sculptor Kiki and Marcy, and comes across a collection of photographs and medications which imply that Marcy is severely disfigured from burns on her legs and torso. As a result of this implication, and as a result of a strained conversation with Marcy, Paul abruptly slips out of the apartment.
Paul then attempts to go home by subway, but the fare has increased at the stroke of midnight, and he finds that his pocket change is no longer sufficient to purchase a token. He goes to a bar where Julie, a waitress, becomes enamored with him. At the bar, Paul learns that there have been a string of burglaries in the neighborhood. The bar's owner, Tom Schorr, offers to give Paul money to cover the subway fare, but he cannot open the cash register. They exchange keys so that Paul can go to Tom's place to fetch the cash register keys. Afterward, Paul spots two actual burglars, Neil (Cheech Marin) and Pepe (Tommy Chong), with one of Kiki's sculptures. After he attempts to confront them, they flee, dropping the sculpture in the process. When Paul returns the sculpture to Kiki and Marcy's apartment, he finds Marcy has committed suicide. Kiki and a stout man named Horst have already left to go to Club Berlin, a nightclub.
Paul attempts to return to Tom's bar, but it is locked with a sign indicating that Tom will be back in half an hour. Paul meets Julie, the waitress, in the street, who invites him up to her apartment to wait for Tom to reopen the bar. Paul goes back to Tom's bar, finding Tom grieving over Marcy, who was his girlfriend. Paul returns to Julie's apartment where she begins to sketch his portrait while they talk. Ultimately, Paul rejects Julie's advances and leaves. He goes to Club Berlin to find Kiki and Horst, where a group of punks attempt to shave his head into a mohawk. Paul meets Gail who mistakes him for the burglar, and she and a mob of local residents relentlessly pursue him. Paul then witnesses a murder.
He meets a man who he asks for help, and the man assumes that he’s looking for a gay hookup. Paul finds Tom again, but the mob (with the assistance of Julie, Gail, and Gail's Mister Softee truck) chases Paul. Paul discovers that as payback for rejecting her, Julie used his image in a wanted poster which names him as the burglar. He ultimately seeks refuge back at the Club Berlin. Paul uses his last quarter to play ""Is That All There Is?"" by Peggy Lee and asks a woman named June to dance. Paul explains he's being pursued and June, also a sculptress, offers to help him. She protects him by pouring plaster on him in order to disguise him as a sculpture. However, she won't let him out of the plaster, which eventually hardens, trapping Paul in a position that resembles the character depicted in Edvard Munch's painting The Scream. The burglar duo then breaks into the Club Berlin and steals him, placing him in the back of their van. He falls from the burglar's cargo right outside the gate to his office building as the sun is rising. Paul brushes himself off and goes to work, bringing the film full circle."
2008,Takkar,Bengali,Swapan Saha,"Prasenjit, Arindam",romance,https://en.wikipedia.org/wiki/Takkar_(2008_film),"Rich suburban girl Chaitali Choudhury marries nephew oriented man Ajoy (Prosenjit) against the wishes of her elder brother and aunt. But within a couple of months Chaitali (Rachana) and Ajoy go loggerheads over the issue of Ajoy's beloved nephew Arun (Rishi). Ajoy slaps Chaitali in front of her brother Joydeb's (Sudip) friend Shekhar. Chaitali leaves home even after repeated requests from Ajoy's mother and his widow sister Dipa to stay back. Ajoy transforms to a business tycon from a poor man after this incident. On the other hand, Chatali is influenced against Ajoy by Joydeb, pisi (her anut) and Shekhar. 15 years go by. Though the estranged couple still love each other, they can never unite again due to social constraints. Meanwhile, Arun grows up to become a spoilt brat. The uncle-nephew combo remains steady amidts all these mishaps Arun falls in love with Tithi who is accidentally bad man Joydeb's only daughter. There is another positive character in Ranjan (Bhashwar) who tries to bring peace within the rival families. But Shekhar has another plans. He influenced Joydeb to send a pack of killers to execute Ajoy. Ajoy fights bravely but injured. When Arun hears this news he rushes to kill Joydev and Shekhar in a fit of rage. But accidentally he chops off poor Ranjan's left hand with a chopper. Things complicate after this incident but when Ranjan withdraws the case over Arun, he takes oath to become a good man and unite his uncle and aunt. Tithi helps Arun wholeheartedly in this mission. Ultimately after numerous violent incidents Joydeb decides to marry off Chaitali by force. At the last moment Ajoy arrives at that spot. Arun too arrives to save his uncle and aunt. Shekhar tries to molest Chaitali while she kills the debauch in self-defence. Arun takes blame and voluntary goes to jail for 4 years. After getting released Ajoy and Arun come to Joydeb's house to take Tithi with them. There every single truth gets revealed. Joydeb and pisi (Arpita Baker) transform into good human beings and the misunderstanding ends finally. Ajoy and Chaitali re-unite after a long gap."
1959,Five Gates to Hell,American,James Clavell,"Patricia Owens, Dolores Michaels",drama,https://en.wikipedia.org/wiki/Five_Gates_to_Hell,"Several nurses including Athena Roberts, Joy Brooks and a Catholic nun, Sister Marie, and a surgeon, Dr. Richter, are taken captive in Indochina by a band of marauders led by Chen Pamok. He leads them to a jungle fortress guarded by five gates and heavily armed men and demands Dr. Richter treat the gravely ill Gung Sa, a warlord.
Chen becomes infatuated with Athena and, after she resists, she is raped. Richter diagnoses a malignant brain tumor and is told that, if his surgery does not save Gung Sa, he and the other prisoners will be put to death. When the patient survives, Richter is told the women will be kept as sex slaves but, as a reward, the doctor may choose one woman as his own. Although he is in love with Athena, he chooses Sister Marie, to spare her virtue.
Athena uses her wiles to lead a revolt, mowing down guerrillas with machine guns and leading an escape into the wild, Richter sacrificing his own life to help save theirs. Chen's men pursue and many from both sides are killed. Sister Marie, appreciating how protective the others have been of her, ultimately picks up a weapon to fight back. Athena is able to shoot Chen, who dies pledging his love for her."
